from,to,source
16,Global environmental impacts of consumption,Monitoring framework assignment (Goals and Targets to Indicators)
16,Ecological footprint (2),Monitoring framework assignment (Goals and Targets to Indicators)
16,Extent to which (i) global citizenship education and (ii)education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education and (d) student assessment (Sustainable Development Goal indicator 4.7.1),Monitoring framework assignment (Goals and Targets to Indicators)
16,"National recycling rate, tons of material recycled (Sustainable Development Goal indicator 12.5.1)",Monitoring framework assignment (Goals and Targets to Indicators)
16,Human appropriation of net primary production,Monitoring framework assignment (Goals and Targets to Indicators)
16,Carbon dioxide emission per unit of value added (Sustainable Development Goal indicator 9.4.1),Monitoring framework assignment (Goals and Targets to Indicators)
16,Change in water-use efficiency over time (Sustainable Development Goal indicator 6.4.1),Monitoring framework assignment (Goals and Targets to Indicators)
16,Indicators from the Life Cycle Impact Assessment Programme,Monitoring framework assignment (Goals and Targets to Indicators)
16,Poverty level,Monitoring framework assignment (Goals and Targets to Indicators)
17,17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19,Monitoring framework assignment (Goals and Targets to Indicators)
17,Indicators related to the Cartagena Protocol on Biosafety,Monitoring framework assignment (Goals and Targets to Indicators)
18,18.1 Positive incentives in place to promote biodiversity conservation and sustainable use,Monitoring framework assignment (Goals and Targets to Indicators)
18,18.2 Value of subsidies and other incentives harmful to biodiversity,Monitoring framework assignment (Goals and Targets to Indicators)
18,"Revenue generated from biodiversity- relevant taxes, fees and charges",Monitoring framework assignment (Goals and Targets to Indicators)
18,Monetary value of biodiversity-positive subsidies,Monitoring framework assignment (Goals and Targets to Indicators)
18,Revenue generated by biodiversity-relevant tradable permits (if auctioned),Monitoring framework assignment (Goals and Targets to Indicators)
18,Monetary value of payments for ecosystem services,Monitoring framework assignment (Goals and Targets to Indicators)
18,Monetary value of biodiversity offsets,Monitoring framework assignment (Goals and Targets to Indicators)
18,"Number of other
positive incentives in place for biodiversity (by type)",Monitoring framework assignment (Goals and Targets to Indicators)
18,Monetary value of other positive incentives in place for biodiversity,Monitoring framework assignment (Goals and Targets to Indicators)
19,"D.1 International public funding, including official development assistance for conservation and sustainable use of biodiversity and ecosystems",Monitoring framework assignment (Goals and Targets to Indicators)
19,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
19,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
19,Number of researchers per population,Monitoring framework assignment (Goals and Targets to Indicators)
19,Number of joint scientific papers published in the Ocean Biodiversity Information System by sector,Monitoring framework assignment (Goals and Targets to Indicators)
19,Proportion of total research budget allocated to research in the field of marine technology (Sustainable Development Goal indicator 14.a.1),Monitoring framework assignment (Goals and Targets to Indicators)
19,Volume of official development assistance flows for scholarships by sector and type of study (Sustainable Development Goal indicator 4.b.1) Global imports of information and communications technology goods by category,Monitoring framework assignment (Goals and Targets to Indicators)
19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies (Sustainable Development Goal indicator 17.7.1)",Monitoring framework assignment (Goals and Targets to Indicators)
19,International funding targeted at indigenous peoples and local communities within biodiversity-related activities ,Monitoring framework assignment (Goals and Targets to Indicators)
19,International funding targeted at youth within biodiversity- related activities,Monitoring framework assignment (Goals and Targets to Indicators)
19,International funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
19,Monetary value of the annual budget for biodiversity from total national budget,Monitoring framework assignment (Goals and Targets to Indicators)
19,Percentage of annual biodiversity expenditure in total national government budgets,Monitoring framework assignment (Goals and Targets to Indicators)
19,Domestic funding targeted at indigenous peoples and local communities within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
19,Domestic funding targeted at youth within biodiversity- related activities,Monitoring framework assignment (Goals and Targets to Indicators)
19,Domestic funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
